,airline,author,date,content,cabin,overall
15,thomson-airways,B Reardon,2015-07-25,This is not my first Dreamliner flight however I am at a loss with the hype. Seat pitch is great and previously the inflight entertainment was however not on the June 15. Food OK however biggest gripe was only 2 drinks run for a 12.5hours flight and had I not taken my own drinks I would have been dehydrated. Every visit to the galley staff were on a break and drinks not available or a promise they would be around in 10 mins however they weren't.,Economy,3
16,qatar-airways,CB Enslin,2015-07-05,"Effective check-in and transferring. Cabin crew attentive and friendly. Very limited legroom, making the flight really uncomfortable when the flight is full as was the case on the BCN-DOH leg. I am a regular flyer and have found the legroom on all four flights to be exceptionally limited compared to other airlines. Serving of meals on the first two legs seemed disorganized. I was served my meal only two hours after the meal service started. On the second leg I received my meal relatively quickly, but the passengers sitting five rows ahead of me were only served about an hour later. I could not figure out the logic. Serving of meals on the return flights were well organized though.",Economy,7
17,lufthansa,M Normann,2015-07-01,"Check-in in Hannover quick, Lufthansa Business Lounge (access due to FTL status) stylish, friendly staff and good offer of drinks and breakfast - even scrambled eggs. Rest I flew Economy. Flight Hannover-Munich short 45 min service with full bar and muesli service. Munich is a great airport to transfer! Lufthansa offers all passgengers free coffee/cappuccion/tea from machines and free newspapers at the gates. Flight Munich-Istanbul also with new onboard connect wireless entertainment system on short/medium haul routes which is a massive improvment. You can use your tablet or notebook and have access to a variety of movies in different languages, music, flight map and: newspapers and magazines in different languages from the same day to download. Hot meal served by charming and professional flight attendends. On time and efficient.",Economy,10
18,el-al-israel-airlines,Paul Suliteanu,2015-06-11,"TLV-OTP-TLV. Outbound Boeing 737-900ER, brand new aircraft with sky interior and slim new seats. Very good entertainment, overhead LCD with TV shows. Food very good some chicken tapas, tahini hummus, pita salad and chocolate mousse. Crew young, smiling and friendly. Got delayed for 2 hours because of some closed routes but kept informing us so no problem. Boarding done quickly and right after takeoff so no waiting on aircraft. Inbound Boeing 737-800. Left before time and upgraded to preferred seat for $50, great seat near window emergency exit with a lot of space, also middle seat empty so felt like European business on other airlines. Again overhead entertainment on LCD screen. Didn't eat but choice was tapas - either tuna or chicken. Given 2 cans of cola and fanta. Crew friendly and young purser was very funny. Captains update on route weather and procedures very nice. Will fly again, definitely improved and with new aircraft cheaper and better than competitors.",Economy,9
19,aer-lingus,Allison Garetto ,2015-07-20,"The flight attendants were very rude, and the media system was broken which didn't help an 8 hour flight. Kept asking for updates about it and the flight attendants didn't acknowledge it. They only came around with drinks once. Food was inedible, and the leg room was small even for an airplane. I've flown internationally many times before and Aer Lingus was the worst in my opinion.",Economy,1
20,british-airways,Richard Dalgleish,2015-07-14,"BA is getting more like a budget airline every time I fly. I now have to pay £15 to choose a seat when I book in and then wait an unreasonable time to board. Fast track were called forward first and about 80% of the passengers went that way. When I finally got to the front I asked if all the fast track were fast track and was told ""no but we are not allowed to make them go to the general boarding queue"" so what is the point. Easyjet and Norwegian are far better than BA for short haul and any Middle East airline for long haul. Try harder BA please!",Economy,3
21,austrian-airlines,M Studzinski,2015-07-06,"New T2 Terminal in London, Business Class check-in due to Star Gold status. Excellent Lufthansa lounge with excellent selection of food and drinks. Long way to the gate, flight delayed for 45 mins, but we managed to land almost on time in Vienna. A321 used on both flights is very nice plane and legroom was ok. Food only consisted of a small bag of snacks/pretzels and drinks, served by bored-looking and not too friendly FAs. I havent heard ""please"" or ""you're welcome"" once. Transfer in Vienna was ok, Austrian Terminal is new but not interesting, just a long grey corridor with gates and few shops - boring. Very nice lounge in VIE, good food and beverage selection. In Sofia my suitcase arrived as a last one, despite being tagged as a Priority. Shame. Both flights just correct, nothing to remember.",Economy,3
22,american-airlines,Jill Halligan,2015-07-31,"We flew from Boston, MA to St. Thomas U.S.V.I. on July 14th 2015. Flight #1619 from Boston to Miami was our first leg of the trip and that went smoothly. Then we got onto flight #2421 from Miami to St. Thomas. It was delayed a half hour. We landed in St. Thomas still being able to make our ferry to Tortola. However, it took 1 hour and 45 minutes for all of our luggage to be deplaned. During this time three other planes landed, all of their luggage was sorted out and the passengers from those planes left the terminal. We found one of our pieces of luggage was still in Miami. Our flight came in at 3.30pm, originally supposed to land at 2.57pm. It is well know that ferries stop running from Charlotte Amalie at 4.30pm. American should have done everything in its power to get people on their way. At least one third of the passengers were in the same situation as us. Four others lost baggage. My son spent the next morning trying to reconnect with his luggage and were told we would have to make a trip to the ferry terminal to pick it up. Now on to our flight home, July 25th 2015, we arrive at the airport three hours before our flight. The six of us were flying from St. Thomas to Philadelphia, PA on flight 837 leaving at 3.05pm. We arrived at the airport at 11.45am. We went to the kiosk and got our plane tickets and then joined the extremely long line (1.5 hours), at the ticket counter, just to get our luggage tags.",Economy,3
23,xl-airways-france,Christine Gayle,2015-07-29,"This was the least expensive flight I saw advertised and was not as bad as some reviews had made me fear. The legroom is scarce for a taller person (I am 5 foot 9) and it seemed that this flight was slightly longer than it actually was. The food was average, but, given the price, I cannot say I won't fly this airline again.",Economy,5
24,vueling-airlines,S Becker,2015-07-24,"I have taken this airline twice. Both times it has be over 2 hours delayed. There is no priority boarding for ""excellence"" passengers at least not in my experience. Apparently ""excellence"" equates to nothing more than a velcro attached head rest. I do not care for much of their service but I do depart before my scheduled arrival time.",First,3
25,garuda-indonesia,Liam Pannam,2015-07-28,"I was on flight GA719 to Denpasar and GA718 to Melbourne in economy class. The seat was wide, good legroom, had an inflight entertainment system and was clean. Garuda gave us 2 hot meals, 2 snacks and drinks were given often over this 6hr flight. The flight attendants were nice and friendly, lavatories were spotless and a very friendly pilot. ",Economy,10
26,avianca,K Al Mehedi,2015-07-21,"A good journey. Sao Paolo to Perú cabin staff are excellent. Seat is full flat 180 degrees. Food choice very good. Avianca frequent flyer program is one of best. They give many many option for redeem miles. Like air flight, Hotel, purchase from different country.",Business,9
27,united-airlines,Brandi Porter,2015-07-29,"Everytime I fly with this airline there is a 3 or more hour delay due to ""awaiting aircraft."" One time is was because the pilot was in a different city and had to get to Boston to fly out, which took 5 hours! Another time the plane was awaiting the crew which was coming from a different city apparently. Then the plane was just delayed leaving its first departure city and we were never told why just that as soon as it gets in we would be on our way. This is just ridiculous. First off I had a connection flight and was not notified of the delay. Secondly, they had no one at the desk to assist customers trying to find a new flight and when I finally found someone at a different gate, who was semi helpful, she informed me that the next flight out would be 15 mins before my new scheduled departure time. So in my experience this airline is all about delays if your current flight is coming from another city. I get it, things happen but this airline really needs to improve its punctuality. I only took this flight this time beacuse of my miles and I was disappointed again.",First,1
28,cathay-pacific-airways,E Carew,2015-07-02,"The flight departed late as the incoming arrival from HKG was late. The staff were indifferent: few similes, unlike on Philippine or Singapore Airlines, or Cebu Pacific, where looking passengers in the eye and smiling are the order of the day. The flight was also close to full so there was little chance of having an empty seat next to a traveller. The baggage allowance for check in is only 20 kilograms: on some other airlines, it is 23 or even 30kg. Overall not particularly impressive and a case of living on their laurels. The inflight entertainment lacked a 'hits and memories of the 60s, 70s and 80s' channel.",Economy,4
29,southwest-airlines,Jeff Bradley,2015-06-14,"My friend and I flew Southwest from DAY-TPA on June 6 with a return flight June 10. The outbound aircraft was one of the old Air Tran 737s, a little frayed around the edges, but perfectly servicable. The return flight was on a newer 737-700, everything was new and bright. Both aircraft were clean, and staff was friendly, professional, and courteous. My only complaint was that the seats seemed a bit narrow and I am not a big guy. The outbound flight was on time, while the return flight was delayed three hours by a thunderstorm over the airport. This was my first time flying Southwest and I will definitely be flying them again.",Economy,8
30,japan-airlines,L Alvin,2015-07-03,"Was actually a domestic plus a international flight. Upgraded the domestic ones to Class J (Note: they never mentioned it was business class, and neither did I think it was business class). Domestic: No food, just drinks on board. pretty decent and Class J seats were nice. Staff were tentative and smiling. No complaints at all. International: NRT-SIN-HND (JL711, JL038). Both were good. I ordered the gluten free meal and got exactly what I wanted. Staff were nice, boarding was efficient, and never a minute late. Only thing to say is the IFE, low selection of movies as well as songs (can't blame them as Japan is almost half a decade slow in releasing movies). Food was good. Best parts of JAL: Great Economy seats, and marvellous punctuality. If you are looking to get in for a transfer with only 1.5 hours for transit, this is the airline to take. ",Business,10
31,klm-royal-dutch-airlines,Aaron Gourley,2015-07-05,"The ground crew were polite, professional, and cared about trying to make us happy. We had a baby, so we had to go to the transfers desk to print our boarding passes. They helped us bypass long lines so that we could make our connection on time. Because we were boarding from a connecting flight we weren't able to arrive early enough to claim the bassinet seating (there were lots of babies on the plane) but the flight hostess was able to find another seat for the woman sitting beside my wife, so we had a place to put out 6 month old instead of holding him the whole time. The plane was clean and comfortable, and the food was acceptably good for airplane food. The hostesses were very friendly, professional and presentable. I would recommend this airline.",Economy,9
32,american-airlines,Beth Kutcher,2015-07-25,"American is usually okay for me but they aggravated me this time around. I'm assuming the airlines set the flight times. We had a 2 hour layover which is usually enough time but due to the size and unecessary complexity  I already reviewed the airport separately) of Miami airport, it was not enough time and we had to run to make final boarding call. I feel like an airline should understand times and how each airport is and should not schedule flights if they know it will be almost impossible for their customers. We were so close to not making it even though we were responsible with booking the layover times. If there is such a risk of passengers not making it don't schedule flights for those times! Part of the problem was the need to claim baggage and recheck it which we were not informed of when we booked the flights. It took far too long for our baggage to come and there was no one around to answer questions about whether or not more baggage was coming. Then after running to make it we still didn't take off on time. We sat for 30 mins at the gate while they fixed some problem in cargo. Some smaller complaints: they did not serve snacks on any of their flights for this trip and they did not show any good entertainment. They kept showing show after show instead of movies and not any good shows either that are popular.",Economy,3
33,small-planet-airlines-uab,Elaine Flack,2015-07-30,"We booked our holiday through Monarch but it was not clear from their website that we would be travelling with Small Planet. Was a bit sceptical about flying with a company I had not heard of before. We needn't have worried. When we checked in we were able to book extra leg room both ways for about £20 per person, each way. The seats were good. The crew were also very helpful, friendly and always smiling, something some other airlines lack. Food was ok. Would travel with them again.",Economy,9
34,alitalia,Roberto Bernardinis ,2015-07-29,"Excellent food and wine, good overall service with the possibility to eat at a time of your choice. The service is in line with the best European Airlines and better than any North American Airline. In-flight entertainment was good, with wide selection of movies on in-seat monitors. Seats are comfortable and are completely flat for sleeping. Beauty case is given also for daytime flights.",Business,8
35,british-airways,Bob Motto,2015-07-16,"Recently flew BA from LHR to ORD, 64A, Upper Deck in Club World. Excellent experience with great service and a good food selection too. The crew were professional and very attentive but the ration of crew to passengers hels as there are only 20 seats on the upper deck with two dedicated crew. The seat was comfortable with plenty of room and storage under the windows was a great help too. The inflight entertainment was OK but the selection was very limited compared to what it used to be, BA could do more to add a much wider variety to its film selection, otherwise a great flight.",Business,10
36,jet2-com,Shaun Michael,2015-07-25,"Old tired aircraft, very cold on outbound and inbound flights. Very noisy in cabin from engines. Impersonal service, all announcements pre recorded, staff disinterested. Positives - quick friendly check in, good leg room, flights on time. Inferior service to Easyjet, would avoid in future",Economy,2
37,air-france,Andrew Barnes,2015-07-09,"Recently flew Birmingham to Paris CDG. It is only a short flight which was good considering how uncomfortable the seats were. The seat was far too narrow. I'm not a particularly large guy, but this seat was way too narrow. We were served a sandwich and drink during the flight. The sandwich was revolting and served on bread. Ordinarily I like Air France but this service was poor.",Economy,4
38,united-airlines,Behrooz Farahbakhsh,2015-07-19,"Nice stewardesses but terrible flight, very uncomfortable seats and cramped airplane. Plus, they charged me an extra $100 for excess baggage while I had only 2 bags and was traveling overseas. They told me well you can have 2 bags for overseas but you are traveling in the US right now so you have to pay and mind you all their flights are going to be within US first before going to Europe where I was going however no where I was told about this. So in effect, they charge you $100 more for the ticket without telling you up front. Oh wait, yes they tell you in a fine print somewhere in the 3 page document. However, I have traveled with many other airlines and none did that to me.",Economy,1
39,wizz-air,Orçun Soysal,2015-07-13,Worst airline I have experienced. We could not check-in online and they took 45 euro at airport (more expensive than the tickets itself) just to check us in along with and 90 euros for a cabin bag. ,Economy,1
40,british-airways,John Duffus,2015-06-28,"Check in at Tegel was a disaster and ludicrously (for it has a lot of BA flights) I was told there are no BA staff at that airport to sort out problems. 100 minutes prior to departure, 2 check in desks were open - 1 business, 1 economy. As a BA Silver card holder, I joined the business queue. First one lady had considerably too much baggage. The arguments went on for more than 10 minutes before she paid the extra fees. Then the technical crew for a pop event the previous day had to be checked in. Not only were some of their 20 or so items very overweight, others were way too large. After 20 more minutes I asked a young lady why the other business passengers could not be processed at the economy desk. This was not possible, I was told. Eventually another economy desk opened; yet our queue remained immobile for a further 15 minutes. Finally after more than 40 minutes, someone decided we could be processed at an economy desk after all! Looking forward to a drink in the lounge, I then discover there is no lounge airside. As for the LHR-ORD flight, I have been spoiled with business class intercontinental travel since business class was introduced. To board an international carrier and discover a seat pitch of just 31"" was a major shock. This is like travelling long haul on a budget carrier only at considerably greater cost. The worst part was the cabin was kept at an extremely warm temperature throughout despite requests for the captain to reduce it to a more reasonable level. The meal was OK and the IFE had a decent selection of movies. But overall, the flight was hugely uncomfortable. With some other carriers still offering a seat pitch greater than 31"", BA has lost my future business.",Economy,2
41,american-airlines,Matt Smith,2015-07-27,"Every time I fly on an American Airlines they lose my luggage, and the planes are always broken. On my way back to MO last time, the plane was delayed in Phoenix for 4 hours, before they finally switched us to a new plane. They still managed to mess up getting my luggage back that night. This time, my flight left an hour late because of AC issues. When we land in Dallas for my transfer, I went from a 45 minute layover, to run as fast as I could to catch my gate. Got there as the door was closing. Turns out that didn't matter, because there was an issue with this plane too. Apparently, one seat was not functioning. I will never fly AA again. ",Economy,1
42,united-airlines,John Flaherty,2015-07-16,"You just spent $1800 on a Economy R/T flight to Spain. The initial snack was a small piece of cheese and two crackers. The meal hours later was bland tasteless turkey loaf, canned over cooked green beans, puree sweet potato, brick mango sorbet. Remember you paid $1800 dollars for this. 2 hours out of SFO on the return flight breakfast was served. A small sandwich arrives. It is extremely cold, practically frozen. One small slice of cheese and ham. Interestingly the outer wrapping states: warmable! Remember, this is a $1800 flight. Few fellow passengers are thrilled with this breakfast treat. What is wrong with this picture? Would you fly United if this happened to you?",Economy,1
43,china-airlines,Paula Benjestorf Benjestorf,2015-06-14,The seats are definitely not geared for Western heights and weights. My husband was tortured with no legroom for 13 hours. It was just not comfortable. Might be ok under 5 hour flights but for long distance travel its brutal. The staff were accommodating. Food was pretty bad and I actually didn't know what some of the items that were served. I left a lot. Not sure I'd fly this airline again because of the cramped uncomfortable seating. That's really all they have to offer.,Economy,2
44,qatar-airways,Kok Wai Lam,2015-06-26,"Dallas to Doha economy class, and passengers were mostly not beef eaters, but one of the main dishes offered was beef. Maybe the airline should look at other food choice options. Overall very satisfied with the service provided by crew and the inflight entertainment. Qatar deserves to be the world best airline. Meal options are not the fault of crew, but just a suggestion.",Economy,7
45,eva-air,Raphael Osuna,2015-06-24,"LAX-TPE-BKK, BKK-JFK via TPE. EVA is not a flashy airline, but a subtle service that will make your journey an easy and comfortable one. All our flights were on time, cabin fresh and clean, seats has lots of space to stretch your legs, good variety of inflight entertainment, in general good experience!",Economy,8
46,air-france,Philippe Vittet,2015-06-18,"Kindly welcome. Departure on time, arrival before schedule. Appreciated captain announcements, clear and sincere. Flight staff quick and nice. Food and beverage limited but of good quality. Flight quiet, landing smooth! Good experience.",Economy,10
47,klm-royal-dutch-airlines,Akram EL Dimerdash,2015-06-12,"CAI-AMS, May 12th. AMS-IAD, May 14th: Check in went smoothly and fast through sky priority, the Lounge was perfect, but again overcrowded. For boarding Sky priority is not very good as we were placed in an adjacent seating area to the Economy and the boarding was altogether with everybody on the same buses. KLM crew was excellent, the greeting was a wide smile. We departed on time, the service was excellent. AMS-IAD: The airport was extremely crowded, the information desk directed me to the Sky priority check in for KLM, it was crowded but much better than the regular check in counter. KL Lounge was great and huge, so it was never over crowded. Boarding was
professional and very organized, it was A330 airbus that looked brand new and it was a pleasant flight. The day was spoilt with the endless immigration queues at Washington Dulles Airport, and an even longer one for the customs. It took me almost 3 hrs to pass all of this.",Business,10
48,norwegian,Larry R Hauer,2015-07-28,"Lots of bad reviews, so we kept our fingers crossed and everything worked out fine. Flew their ""premium"" class one way Gatwick to LAX and this fare was about the same price as the next cheapest which was Air New Zealand economy class, (32 seats in this class - all others are economy, and everything is provided for you at no additional cost for ""premium""). Plane took off/arrived on time - no problem there. Attendants were professional and pleasant. This was a 787, but kind of like buying a car with no extras as the reclining seats were manual, (they are like the old business class seats- wide and reclining, but not lay flat and controls not automatic). Entertainment fine. This is not like flying a legacy airline business class - stemware is thin plastic, utensils plastic, meal served like a box-lunch, but I would do it again considering it was only about $350 more for the 11 hour flight to fly premium.",Premium Economy,8
49,american-airlines,Christy Rogers,2015-06-26,"Flight #116 departing Maui on June 22 at 8:35pm was delayed 3.5 hours. All the restaurants and stores at Maui close at 10pm. We asked the flight attendant for one bottle of water to share amongst the four of us (me, my husband, and 2 children) when boarding the flight at 12:15am and were told they have a limited amount for the flight and do not give bottles to customers. Plane had no power outlets in economy class cabin.  Even though DFW is closer to my home I will make the extra drive to Love Field and take Virgin to LAX and connect with Hawaiian on my next Hawaii trip. ",Economy,1
50,spirit-airlines,Michelle Coleman,2015-07-01,"Our flight going to Cancun, Mexico was delayed 3 hours and no one told us! We just sat there and realized our boarding time had passed - there was no communication and the service representative could not tell us anything regarding our flight. Going home we had a flight connection in Ft. Lauderdale -  when we deplaned to catch our flight back to DFW we waited 30 minutes or so before we got our luggage because they didn't know where we were supposed to pick it up. Then we had to run through the airport with about 25 other people on the same flight or other connecting flights, our plane was still there but they would not let us board - needless to say the next flight went out at 8 am. Told us it was our fault, then it was customs fault, then TSA'S fault - everybody's fault but theirs.",Economy,1
51,swiss-international-air-lines,R Aguirre,2015-07-17,"Let me keep this short and to the point. Bangkok-Zurich leg - 11 Jul- Awful food, wooden service, cramped seats, no wifi. Check in app not working, social media team refused to resolve check in issues and instead forwarded me to their email. Not feasible since I had a quick transit and hardly any internet connection. Limited entertainment options. Zurich - Berlin leg, 11 Jul - Flight delayed. Still awful food. Zurich - Berlin leg, 15 Jul - On time. Still awful food. Berlin-Zurich leg, 16 Jul - Delayed flight, flight attendant was rude when asked if we will be ok since we have a connecting flight to Singapore. Awful food. Zurich-Singapore leg, 16 Jul - delayed as well. Disorganized boarding. Food was too bad I couldn't finish it because it was too salty. Food was delivered late, had to call attention of flight attendants who were very unfriendly. Never again for long haul flights.",Economy,1
52,british-airways,Paul Nesbitt,2015-07-09,"All I can say is mediocre. Having flown this route with other airlines in business class, I believe I have been spoilt. The British Airways product is old and just adequate. TV screen small and poor quality, food okay but nothing more, seating poor. The one highlight was quality of service from the crew. I had nothing to actually complain about, but nothing to make me want to use this product again.",Business,5
53,ryanair,Adam Bass,2015-06-29,"Experience was poor. We booked with Ryanair after a long time of not using them after previous bad experiences but saw the new website and various other newly replaced items and services that Ryanair use and bought tickets for return flights to Tenerife. However easier the prepayment section of the booking experience and website may be we found that once you had played the airline used all sorts of dirty tricks such as making you pay for allocated seating if you wanted to make sure your party was sitting together and charging for all sorts of other service that would be expected to be provided freely. This made the flights no cheaper than the ones that other airlines offered. The cabin - despite pictures on the internet - looked gloomy, old fashioned and dirty. Onboard food as overpriced and service was slow. The cabin crew were constantly pushing you to buy products as they are partially payed on commission. Also the main reason Ryanair is usually on time is that unlike other airlines they add an additional 10 minutes onto the actual estimated flight time.",Economy,2
