id,loan_amnt,issue_d,term,int_rate,grade,sub_grade,emp_title,verification_status,home_ownership,annual_inc,loan_status,purpose,desc,addr_state,dti,fico_range_low,fico_range_high,hardship_flag,mths_since_last_delinq
135449018,15000.0,Jun-2018, 36 months,5.31,A,A1,engineer 1,Source Verified,RENT,69000.0,Current,credit_card,,NY,21.41,680.0,684.0,N,
121745672,20000.0,Oct-2017, 60 months,12.62,C,C1,licensed practical nurse,Not Verified,OWN,105000.0,Current,debt_consolidation,,NY,9.03,665.0,669.0,N,
94378468,24000.0,Dec-2016, 60 months,21.49,D,D5,producer,Verified,RENT,85000.0,Charged Off,debt_consolidation,,CA,15.92,660.0,664.0,N,29.0
61502201,10000.0,Oct-2015, 36 months,10.99,B,B4,sales,Verified,MORTGAGE,75000.0,Charged Off,debt_consolidation,,PA,18.16,665.0,669.0,N,15.0
138270440,16000.0,Aug-2018, 36 months,7.84,A,A4,senior accountant,Source Verified,RENT,85000.0,Current,credit_card,,NJ,15.32,675.0,679.0,N,22.0
22283284,15000.0,Aug-2014, 60 months,14.49,C,C4,engineer,Verified,RENT,60000.0,Charged Off,debt_consolidation,,CA,13.23,660.0,664.0,N,22.0
99330538,24000.0,Feb-2017, 60 months,23.99,E,E2,courier,Source Verified,MORTGAGE,80000.0,Fully Paid,debt_consolidation,,GA,4.29,660.0,664.0,N,
96494679,15000.0,Jan-2017, 36 months,19.99,D,D4,sales,Source Verified,MORTGAGE,50000.0,Current,debt_consolidation,,IL,26.67,675.0,679.0,N,42.0
59411554,32000.0,Sep-2015, 60 months,18.55,E,E2,patients care tech,Verified,OWN,75000.0,Fully Paid,debt_consolidation,,CA,38.5,670.0,674.0,N,80.0
10834960,12000.0,Jan-2014, 36 months,6.62,A,A2,supervisor,Not Verified,MORTGAGE,67500.0,Fully Paid,home_improvement,  Borrower added on 01/23/14 > I am looking to consolidate my credit card debt<br>,IN,14.44,750.0,754.0,N,75.0
139324701,15000.0,Aug-2018, 36 months,14.47,C,C2,senior software engineer,Source Verified,RENT,127000.0,Current,debt_consolidation,,GA,20.93,720.0,724.0,N,
139458261,29000.0,Sep-2018, 60 months,10.47,B,B2,fork lift operator,Verified,MORTGAGE,55000.0,Current,credit_card,,WI,28.82,690.0,694.0,N,72.0
82910187,1450.0,Jun-2016, 36 months,13.49,C,C2,controller ,Verified,RENT,55000.0,Late (16-30 days),vacation,,FL,15.97,700.0,704.0,N,
135266305,40000.0,Jun-2018, 60 months,16.46,C,C5,attorney ,Verified,MORTGAGE,113000.0,Charged Off,home_improvement,,CA,7.7,715.0,719.0,N,61.0
7680449,15000.0,Oct-2013, 36 months,16.2,C,C4,sr director business development,Not Verified,MORTGAGE,160000.0,Fully Paid,debt_consolidation,,DE,7.49,685.0,689.0,N,7.0
77352160,13250.0,May-2016, 60 months,19.99,D,D5,admissions manager,Not Verified,RENT,56200.0,Current,other,,CA,25.15,715.0,719.0,N,
96953765,25000.0,Jan-2017, 60 months,13.49,C,C2,contract,Not Verified,OWN,105000.0,Current,debt_consolidation,,CO,10.27,720.0,724.0,N,
143783922,4500.0,Nov-2018, 36 months,7.02,A,A2,shift supervisor,Not Verified,RENT,28000.0,Current,credit_card,,CA,34.72,755.0,759.0,N,
136268460,20000.0,Jul-2018, 60 months,10.08,B,B1,hr director,Not Verified,MORTGAGE,87500.0,Current,debt_consolidation,,TX,24.37,790.0,794.0,N,
51937495,35000.0,Jun-2015, 36 months,17.86,D,D5,senior security administrator,Source Verified,MORTGAGE,123000.0,Fully Paid,debt_consolidation,,TX,24.97,700.0,704.0,N,
127313170,19000.0,Feb-2018, 36 months,11.99,B,B5,registered nurse ,Not Verified,OWN,65000.0,Current,debt_consolidation,,MD,22.54,675.0,679.0,N,10.0
64171383,14000.0,Nov-2015, 36 months,10.99,B,B4,teacher,Not Verified,MORTGAGE,64000.0,Charged Off,debt_consolidation,,CA,4.63,725.0,729.0,N,62.0
78498194,19200.0,May-2016, 36 months,5.32,A,A1,attorney,Not Verified,OWN,135000.0,Fully Paid,debt_consolidation,,WA,17.31,785.0,789.0,N,
79731727,6000.0,May-2016, 36 months,25.11,F,F1,cook,Verified,OWN,20000.0,Charged Off,debt_consolidation,,FL,14.47,665.0,669.0,N,68.0
92233166,8100.0,Oct-2016, 36 months,12.74,C,C1,advocate,Not Verified,MORTGAGE,32000.0,Fully Paid,debt_consolidation,,NV,8.03,720.0,724.0,N,
142892169,25000.0,Nov-2018, 36 months,26.31,E,E4,cyber security analyst,Source Verified,MORTGAGE,100000.0,Current,other,,NC,10.61,670.0,674.0,N,69.0
131978892,9800.0,Apr-2018, 36 months,9.92,B,B2,landscape,Source Verified,RENT,35000.0,Current,debt_consolidation,,AL,20.88,715.0,719.0,N,54.0
57084851,9000.0,Aug-2015, 36 months,9.99,B,B3,executive assistant,Source Verified,MORTGAGE,90000.0,Fully Paid,credit_card,,TX,30.83,690.0,694.0,N,
133203171,30000.0,May-2018, 60 months,13.06,C,C1,driver,Source Verified,RENT,110000.0,Current,small_business,,NC,0.65,715.0,719.0,N,33.0
143809707,18000.0,Nov-2018, 36 months,8.19,A,A4,registered nurse,Not Verified,OWN,90000.0,Current,credit_card,,TX,19.28,720.0,724.0,N,5.0
77391370,35000.0,Apr-2016, 60 months,21.18,E,E3,first vice president,Verified,MORTGAGE,171950.0,Current,debt_consolidation,,GA,30.33,675.0,679.0,N,
76123479,14000.0,Apr-2016, 60 months,12.99,C,C2,owner,Source Verified,MORTGAGE,80000.0,Current,debt_consolidation,,FL,13.19,695.0,699.0,N,
58973541,17850.0,Sep-2015, 60 months,24.99,F,F4,project manager,Verified,OWN,80000.0,Current,home_improvement,,FL,30.59,660.0,664.0,N,7.0
84543866,18000.0,Jul-2016, 36 months,11.49,B,B5,unit director registered nurse,Source Verified,OWN,105000.0,Fully Paid,credit_card,,PA,20.69,710.0,714.0,N,50.0
4185243,35000.0,Apr-2013, 60 months,19.72,D,D5,fs medical technology,Verified,MORTGAGE,109000.0,Fully Paid,credit_card,,CA,12.23,675.0,679.0,N,
59995541,24000.0,Sep-2015, 60 months,18.55,E,E2,maintenance mechanic,Source Verified,RENT,73000.0,Fully Paid,debt_consolidation,,IL,27.45,680.0,684.0,N,71.0
73687741,15000.0,Mar-2016, 36 months,5.32,A,A1,senior art director,Not Verified,RENT,100000.0,Fully Paid,credit_card,,NY,18.04,740.0,744.0,N,
26298864,14000.0,Sep-2014, 60 months,19.52,E,E2,special education teacher,Not Verified,MORTGAGE,75000.0,Fully Paid,debt_consolidation,,CA,21.34,660.0,664.0,N,79.0
48070365,15825.0,May-2015, 60 months,12.69,C,C2,accountant,Source Verified,RENT,33000.0,Current,credit_card,,MO,20.98,690.0,694.0,N,
131647523,13000.0,May-2018, 60 months,11.98,B,B5,assistant store manager,Not Verified,RENT,30000.0,Current,debt_consolidation,,NY,13.72,700.0,704.0,N,
132374211,18000.0,May-2018, 60 months,14.07,C,C3,sales manager,Verified,RENT,55000.0,Current,debt_consolidation,,OR,21.3,670.0,674.0,N,
29624338,14000.0,Oct-2014, 60 months,15.61,D,D1,advance practice nurse,Not Verified,RENT,95000.0,Charged Off,credit_card,,PA,19.47,665.0,669.0,N,22.0
136729608,35000.0,Jul-2018, 60 months,14.47,C,C2,lead - material services,Source Verified,RENT,80000.0,Fully Paid,debt_consolidation,,CA,22.2,695.0,699.0,N,
68604287,8000.0,Jan-2016, 36 months,13.44,C,C3,supervisor,Not Verified,OWN,96000.0,Fully Paid,credit_card,,NY,2.43,715.0,719.0,N,
136455353,20000.0,Jul-2018, 36 months,10.08,B,B1,network engineer,Source Verified,OWN,155000.0,Current,debt_consolidation,,FL,7.65,710.0,714.0,N,41.0
1061598,9575.0,Dec-2011, 36 months,6.62,A,A2,jc penney,Verified,RENT,19498.0,Fully Paid,credit_card,,VA,18.34,735.0,739.0,N,
138657258,21000.0,Aug-2018, 36 months,16.91,C,C5,home attendant ,Not Verified,RENT,21500.0,Late (31-120 days),home_improvement,,NY,20.55,680.0,684.0,N,7.0
96985200,20000.0,Mar-2017, 36 months,7.24,A,A3,group supervisor,Not Verified,MORTGAGE,100000.0,Current,credit_card,,PA,6.89,725.0,729.0,N,58.0
127801837,4000.0,Jan-2018, 36 months,6.72,A,A3,assistant principal,Not Verified,RENT,79000.0,Current,car,,TX,13.4,715.0,719.0,N,23.0
76205587,14000.0,Apr-2016, 36 months,9.16,B,B2,registered nurse,Source Verified,RENT,107000.0,Fully Paid,debt_consolidation,,HI,20.38,705.0,709.0,N,
104954967,15000.0,Apr-2017, 36 months,5.32,A,A1,engineer,Verified,RENT,129000.0,Current,credit_card,,PA,2.1,790.0,794.0,N,
65801969,18000.0,Nov-2015, 36 months,9.17,B,B2,office manager,Verified,RENT,70000.0,Fully Paid,credit_card,,FL,9.24,675.0,679.0,N,42.0
6160283,30000.0,Jul-2013, 60 months,24.89,F,F4,united states postal service,Source Verified,OWN,82000.0,Charged Off,debt_consolidation,  Borrower added on 07/08/13 > This loan is to pay off all credit cards and loans currently in my name.<br>,NY,26.9,675.0,679.0,N,5.0
95041151,4900.0,Dec-2016, 36 months,11.39,B,B3,member care representative iv,Not Verified,RENT,34000.0,Fully Paid,debt_consolidation,,TX,22.8,670.0,674.0,N,8.0
94478989,5500.0,Dec-2016, 36 months,13.99,C,C3,trucking driver,Verified,OWN,49000.0,Current,debt_consolidation,,IN,20.25,695.0,699.0,N,38.0
41720277,17350.0,Mar-2015, 36 months,13.33,C,C3,account manager,Verified,RENT,52000.0,Charged Off,debt_consolidation,,TX,23.12,710.0,714.0,N,70.0
76152384,13200.0,Apr-2016, 36 months,11.99,C,C1,manager,Not Verified,OWN,54000.0,Fully Paid,debt_consolidation,,PA,13.64,665.0,669.0,N,20.0
107005678,20000.0,May-2017, 36 months,12.74,C,C1,technical engineer,Verified,OWN,60000.0,Fully Paid,debt_consolidation,,TN,21.08,695.0,699.0,N,15.0
61732517,5125.0,Oct-2015, 36 months,18.25,E,E1,treasurer,Source Verified,RENT,75000.0,Charged Off,other,,NY,9.65,690.0,694.0,N,10.0
105852940,15000.0,Apr-2017, 36 months,8.24,B,B1,senior system engineer,Not Verified,RENT,121000.0,Current,credit_card,,WA,25.3,745.0,749.0,N,
50616374,16000.0,Jun-2015, 36 months,7.26,A,A4,staff nurse,Not Verified,MORTGAGE,80000.0,Fully Paid,debt_consolidation,,TX,20.27,720.0,724.0,N,26.0
75932212,13500.0,Mar-2016, 36 months,8.39,B,B1,registered nurse,Not Verified,RENT,70000.0,Current,credit_card,,NV,31.94,670.0,674.0,N,26.0
73335278,17525.0,Mar-2016, 36 months,19.99,E,E1,installation manager,Verified,MORTGAGE,58198.0,Fully Paid,credit_card,,VA,24.95,660.0,664.0,N,
96384662,14000.0,Jan-2017, 60 months,18.99,D,D3,art and music department chair/teacher,Not Verified,MORTGAGE,110000.0,Fully Paid,debt_consolidation,,IL,12.9,675.0,679.0,N,72.0
39750615,25000.0,Jan-2015, 60 months,12.99,C,C2,security asst,Source Verified,MORTGAGE,60000.0,Charged Off,debt_consolidation,,NJ,36.11,690.0,694.0,N,7.0
48213078,19775.0,May-2015, 60 months,21.67,E,E5,pathology assistant,Source Verified,RENT,75000.0,Fully Paid,debt_consolidation,,TX,10.11,665.0,669.0,N,76.0
84304473,30000.0,Jul-2016, 36 months,10.99,B,B4,software analyst,Verified,OWN,107000.0,Fully Paid,credit_card,,RI,11.09,660.0,664.0,N,27.0
100105200,6025.0,Mar-2017, 36 months,12.74,C,C1,manufacturing assembler ,Source Verified,OWN,53000.0,Fully Paid,debt_consolidation,,MA,10.89,660.0,664.0,N,37.0
52466453,11200.0,Jun-2015, 60 months,13.33,C,C3,pensions benefits consultant,Source Verified,RENT,51000.0,Fully Paid,debt_consolidation,,GA,15.04,680.0,684.0,N,36.0
8875460,10000.0,Nov-2013, 36 months,8.9,A,A5,director of food & beverage,Not Verified,MORTGAGE,95000.0,Charged Off,home_improvement,,UT,16.65,675.0,679.0,N,
63355410,10400.0,Oct-2015, 36 months,13.99,C,C4,ar & credit analysis,Verified,MORTGAGE,43000.0,Fully Paid,debt_consolidation,,NY,26.49,665.0,669.0,N,60.0
85539617,14000.0,Aug-2016, 36 months,13.49,C,C2,nurse,Verified,RENT,49000.0,Charged Off,debt_consolidation,,NJ,34.26,665.0,669.0,N,2.0
100154973,20000.0,Mar-2017, 36 months,8.24,B,B1,realtor,Source Verified,MORTGAGE,110000.0,Fully Paid,credit_card,,AZ,5.9,660.0,664.0,N,
131143669,19000.0,Apr-2018, 36 months,14.07,C,C3,executive assistant ,Not Verified,RENT,89000.0,Current,debt_consolidation,,NY,9.74,680.0,684.0,N,41.0
108238429,7000.0,May-2017, 36 months,23.88,E,E2,warehouse supervisor,Not Verified,RENT,65000.0,Fully Paid,credit_card,,CA,28.56,690.0,694.0,N,
95924159,40000.0,Jan-2017, 60 months,8.24,B,B1,regional sales director,Verified,RENT,150000.0,Fully Paid,debt_consolidation,,TX,19.34,740.0,744.0,N,
823598,3850.0,Jul-2011, 36 months,8.49,A,A5,darden restaurants inc. (longhorn steak),Not Verified,RENT,48500.0,Fully Paid,credit_card,"  Borrower added on 07/22/11 > This loan is to pay off a high interest rate credit card balance that I have been paying on for over 9 years. I have requested several times to Discover Card for an interest rate reduction, Discover Card has always refused my request. I have negotaited a pay off for the amount requested in the loan application and look forward to bidding Discover Card a  farwell.<br/>",WV,16.85,740.0,744.0,N,
35783202,15000.0,Nov-2014, 36 months,11.44,B,B4,senior software development engineer,Source Verified,RENT,65000.0,Fully Paid,credit_card,,TX,23.7,685.0,689.0,N,
68406094,20000.0,Dec-2015, 36 months,6.99,A,A3,registered nurse ,Source Verified,OWN,145000.0,Fully Paid,debt_consolidation,,CA,9.89,680.0,684.0,N,95.0
135639815,10000.0,Jun-2018, 36 months,5.31,A,A1,owner/president/attorney,Not Verified,RENT,110000.0,Current,credit_card,,CA,23.24,755.0,759.0,N,
124034940,20000.0,Nov-2017, 60 months,11.99,B,B5,maintenance,Not Verified,RENT,60000.0,Current,debt_consolidation,,NY,20.58,665.0,669.0,N,
51116404,15000.0,Jun-2015, 36 months,15.61,D,D1,engineer 3,Source Verified,RENT,52000.0,Fully Paid,debt_consolidation,,CA,9.58,685.0,689.0,N,41.0
102393904,3000.0,Mar-2017, 36 months,5.32,A,A1,attorney,Source Verified,MORTGAGE,104000.0,Current,major_purchase,,DE,15.38,780.0,784.0,N,
17132667,6000.0,May-2014, 36 months,7.12,A,A3,pss/ddm,Not Verified,OWN,174000.0,Fully Paid,credit_card,,KY,6.36,720.0,724.0,N,49.0
93177788,32000.0,Nov-2016, 36 months,10.49,B,B2,forman,Not Verified,RENT,125000.0,Current,debt_consolidation,,IL,23.92,700.0,704.0,N,
34442641,20000.0,Nov-2014, 36 months,12.39,C,C1,executive assistant,Source Verified,MORTGAGE,91000.0,Fully Paid,debt_consolidation,,NY,22.64,715.0,719.0,N,10.0
43429600,15000.0,Mar-2015, 36 months,12.69,C,C2,engineer,Not Verified,RENT,43000.0,Fully Paid,debt_consolidation,,AR,5.25,690.0,694.0,N,
120123838,6000.0,Oct-2017, 36 months,7.21,A,A3,seniorcomputer analyst,Not Verified,OWN,165000.0,Current,home_improvement,,VA,7.58,750.0,754.0,N,3.0
109262637,18000.0,Jun-2017, 60 months,9.44,B,B1,construction manager,Verified,MORTGAGE,80000.0,Fully Paid,car,,CA,8.7,700.0,704.0,N,14.0
40248298,14000.0,Jan-2015, 36 months,13.66,C,C3,leak detection specialist,Source Verified,RENT,41000.0,Fully Paid,debt_consolidation,,TN,30.91,690.0,694.0,N,76.0
70853761,15000.0,Feb-2016, 36 months,9.75,B,B3,devops engineer,Not Verified,RENT,96000.0,Fully Paid,credit_card,,OR,28.18,660.0,664.0,N,
110361767,15000.0,Jun-2017, 60 months,29.69,F,F2,computers sales engineer ,Verified,RENT,45000.0,Charged Off,debt_consolidation,,PA,28.8,670.0,674.0,N,48.0
27721632,14950.0,Sep-2014, 36 months,17.57,D,D4,infrastructure engineer,Verified,RENT,92000.0,Fully Paid,small_business,,CA,7.36,665.0,669.0,N,69.0
129405391,5000.0,Mar-2018, 36 months,7.34,A,A4,"partner, coordinator of development ",Not Verified,RENT,69000.0,Current,credit_card,,NY,15.72,740.0,744.0,N,
129301144,14000.0,Feb-2018, 36 months,15.04,C,C4,teacher,Not Verified,OWN,71000.0,Current,debt_consolidation,,FL,10.29,660.0,664.0,N,28.0
77585991,10000.0,May-2016, 36 months,8.39,B,B1,truck driver ,Source Verified,RENT,60000.0,Current,small_business,,ND,14.38,705.0,709.0,N,55.0
59571911,22550.0,Sep-2015, 60 months,21.99,F,F1,firefighter,Verified,MORTGAGE,70000.0,Fully Paid,debt_consolidation,,OH,17.06,660.0,664.0,N,50.0
121763066,20000.0,Nov-2017, 60 months,9.93,B,B2,engineer ,Source Verified,OWN,70000.0,Current,debt_consolidation,,KS,25.37,810.0,814.0,N,
132116654,20000.0,Apr-2018, 60 months,24.84,E,E3,sr. manager switch engineering ,Verified,OWN,162000.0,Current,other,,IL,5.13,670.0,674.0,N,10.0
121218034,38375.0,Oct-2017, 60 months,10.42,B,B3,sales,Source Verified,MORTGAGE,64000.0,Current,debt_consolidation,,AL,17.98,765.0,769.0,N,38.0
7595201,22750.0,Oct-2013, 60 months,16.2,C,C4,chef,Verified,RENT,72500.0,Fully Paid,credit_card,,NY,3.86,665.0,669.0,N,41.0
67755119,20000.0,Dec-2015, 36 months,6.49,A,A2,credit risk analyst,Not Verified,RENT,80000.0,Fully Paid,major_purchase,,IL,9.54,735.0,739.0,N,
73630566,13000.0,Mar-2016, 36 months,7.89,A,A5,sr foreman,Verified,MORTGAGE,47000.0,Fully Paid,credit_card,,MO,25.59,695.0,699.0,N,12.0
101921467,1500.0,Mar-2017, 36 months,6.99,A,A2,assistant principal ,Source Verified,RENT,81000.0,Current,major_purchase,,TX,17.24,680.0,684.0,N,45.0
60346829,7200.0,Sep-2015, 36 months,7.26,A,A4,facilities technician,Source Verified,MORTGAGE,75000.0,Fully Paid,debt_consolidation,,NY,10.29,695.0,699.0,N,8.0
79001585,20000.0,Jun-2016, 60 months,24.99,E,E5,client recruitment specialist,Verified,RENT,61221.0,Current,debt_consolidation,,NY,20.6,685.0,689.0,N,48.0
134525338,20000.0,Jun-2018, 60 months,14.52,C,C3,electrician,Verified,RENT,65000.0,Current,debt_consolidation,,WV,21.18,665.0,669.0,N,52.0
139406744,15000.0,Aug-2018, 60 months,13.56,C,C1,software engineer,Source Verified,RENT,84000.0,Current,debt_consolidation,,GA,13.47,715.0,719.0,N,
19175979,19000.0,Jun-2014, 36 months,8.39,A,A5,dispatcher,Not Verified,RENT,44000.0,Fully Paid,credit_card,,OH,14.45,700.0,704.0,N,
1681274,12000.0,Nov-2012, 36 months,14.09,B,B5,pnc bank,Not Verified,MORTGAGE,102000.0,Fully Paid,credit_card,  Borrower added on 10/30/12 > Consolidating debt to pay off all unsecured debt in 36 months and close cards.  Combination of events created increased spending and reduced income for several years.  Time to pay the piper.<br><br> Borrower added on 10/30/12 > All bills paid as agreed.  Experienced several years of increased expenses and decreased income.  Pattern has reversed and it is time to consolidate with plan to payoff all unsecured debt in 3 years.  Employed with strong corporation for 14 years.<br>,OH,17.6,675.0,679.0,N,19.0
44399202,20000.0,Apr-2015, 36 months,5.93,A,A1,senior engineering tecnician,Source Verified,OWN,65000.0,Fully Paid,credit_card,,MI,9.05,740.0,744.0,N,
35126564,7700.0,Dec-2014, 36 months,12.99,C,C2,cook,Verified,RENT,45000.0,Fully Paid,debt_consolidation,,NY,15.84,695.0,699.0,N,20.0
