Height (Inches),Height (cm),Weight (Pounds)
68.52652,174.05736080000003,124.1641
64.65419,164.2216426,124.9442
65.14295,165.463093,126.3889
66.74124,169.52274960000003,121.5255
66.99923,170.1780442,133.2951
70.26611,178.4759194,127.4072
67.57666,171.64471640000002,125.08
66.30582,168.4167828,102.8114
68.90702,175.0238308,134.2212
65.60543,166.6377922,100.9758
68.00189,172.7248006,145.8886
69.93715,177.640361,155.3046
70.1459,178.170586,138.7175
66.66364,169.3256456,116.2611
69.40676,176.2931704,120.6087
66.80598,169.6871892,114.4083
67.70048,171.9592192,133.3406
69.13438,175.6013252,92.74955
67.53769,171.5457326,131.7825
65.77912,167.07896480000002,118.3865
66.25769,168.2945326,131.1466
67.39038,171.17156519999997,130.2033
64.94327,164.9559058,129.1836
69.25699,175.9127546,143.1445
69.07739,175.4565706,138.7307
69.64403,176.8958362,130.9528
69.07705,175.455707,124.3032
68.01304,172.75312160000001,135.3702
68.85664,174.8958656,124.1988
63.19158,160.5066132,111.2389
65.57591,166.5628114,129.4037
69.12101,175.5673654,127.7444
69.78765,177.260631,121.3311
67.48203,171.4043562,118.2183
69.08809,175.48374859999998,123.3441
68.5529,174.12436599999998,151.9118
68.21327,173.2617058,115.3108
67.1012,170.437048,122.3844
71.23661,180.9409894,129.2323
69.11946,175.56342840000002,138.2824
65.49848,166.3661392,144.0565
66.58706,169.13113239999998,120.8482
67.99831,172.7157074,113.3034
72.57747,184.34677380000002,149.3227
67.97585,172.658659,130.6373
66.62347,169.2236138,122.387
67.29574,170.93117959999998,133.8677
65.95951,167.5371554,134.8336
66.54011,169.0118794,137.8363
68.07723,172.9161642,112.6812
65.83291,167.2155914,121.1964
69.23721,175.8625134,114.9262
64.69413,164.3230902,110.3762
69.21372,175.8028488,126.0337
67.16792,170.60651679999998,118.7008
67.8467,172.330618,119.3108
69.27389,175.9556806,150.7397
67.90547,172.47989379999999,121.1142
67.076,170.37303999999997,118.4065
70.01531,177.8388874,142.759
70.05454,177.9385316,145.6305
70.86714,180.00253560000002,127.3425
66.0586,167.788844,115.9678
65.23745,165.703123,104.4441
68.7413,174.602902,138.4905
69.51946,176.57942839999998,145.5049
70.30764,178.5814056,124.4065
67.29982,170.9415428,124.1866
67.60582,171.71878279999999,126.1659
67.85566,172.3533764,138.8125
66.46536,168.8220144,121.5515
68.92071,175.0586034,114.2555
68.46886,173.91090440000002,129.4022
69.5193,176.579022,137.5583
70.23956,178.4084824,134.4996
67.85651,172.3555354,127.7103
68.00435,172.731049,115.6709
67.13983,170.53516820000002,131.5906
68.09931,172.97224740000001,127.5839
68.99077,175.2365558,125.7211
69.32618,176.08849719999998,119.9885
70.09286,178.0358644,140.8676
68.74304,174.60732159999998,136.9164
64.18633,163.03327819999998,118.4759
66.09074,167.87047959999998,129.5516
69.24418,175.8802172,152.0714
69.66512,176.9494048,120.8646
68.42721,173.8051134,136.1027
68.28613,173.4467702,130.0611
69.37684,176.2171736,131.7743
68.35315,173.617001,139.38
72.32489,183.7052206,168.229
70.37159,178.7438386,127.6446
65.72927,166.9523458,131.8008
66.49627,168.9005258,122.8561
70.81339,179.8660106,140.2133
67.37579,171.13450659999998,142.6929
67.79709,172.2046086,137.4299
68.1607,173.12817800000002,126.0392
68.85782,174.89886280000002,143.5985
67.71342,171.9920868,122.62
64.66007,164.23657780000002,108.6044
65.73721,166.97251340000003,100.6617
68.42441,173.79800139999998,116.1397
68.88946,174.9792284,140.5293
68.27367,173.41512179999998,125.6907
69.18045,175.71834299999998,134.3329
72.60996,184.4292984,136.4649
66.04157,167.74558779999998,127.8822
69.2288,175.84115200000002,123.1361
68.87697,174.9475038,116.3375
66.46042,168.8094668,124.5581
69.30444,176.0332776,125.7853
67.58249,171.65952460000003,107.5905
69.41816,176.3221264,143.0236
67.46867,171.3704218,118.7434
66.44873,168.7797742,118.9856
68.76185,174.65509899999998,131.8744
63.76881,161.9727774,119.3691
69.03663,175.3530402,126.1223
66.48966,168.8837364,126.6122
66.74224,169.52528959999998,113.5597
67.69394,171.9426076,115.8413
66.69066,169.3942764,130.2738
67.02877,170.25307579999998,125.4542
65.91096,167.4138384,117.1655
70.0304,177.877216,137.3184
69.26978,175.9452412,149.4447
70.07695,177.995453,151.0695
64.90942,164.8699268,116.9994
69.68744,177.0060976,138.1787
67.56524,171.6157096,127.621
63.85529,162.19243659999998,120.7514
71.6189,181.912006,144.2537
64.98993,165.07442220000001,105.7939
64.60759,164.1032786,120.1567
62.01666,157.5223164,109.0848
65.28516,165.8243064,125.971
67.70163,171.9621402,110.2325
70.85794,179.9791676,134.4706
68.17075,173.153705,115.5067
67.45006,171.3231524,125.1086
71.04224,180.44728960000003,116.4113
67.83032,172.2890128,133.3944
67.15488,170.57339520000002,108.7478
68.30289,173.48934060000002,134.3986
65.41208,166.1466832,131.2085
68.66755,174.415577,130.8318
70.06733,177.9710182,127.0838
69.13413,175.6006902,119.4067
67.02078,170.2327812,105.5616
65.52274,166.4277596,134.4733
70.19808,178.30312320000002,132.6897
67.66866,171.8783964,126.058
69.73257,177.1207278,126.3532
67.61719,171.74766259999998,142.3603
70.79589,179.8215606,124.5873
69.65804,176.9314216,122.3604
66.73277,169.50123580000002,123.2298
67.58008,171.65340319999999,131.4049
65.25317,165.7430518,124.3037
70.71387,179.6132298,128.3836
71.27374,181.0352996,136.853
66.55913,169.0601902,118.0569
68.04247,172.8278738,121.4969
68.11699,173.0171546,119.2811
71.2367,180.941218,126.5545
66.92387,169.98662979999997,129.2477
71.10381,180.60367739999998,134.7804
69.41466,176.3132364,146.0725
69.16807,175.6868978,162.4109
68.57725,174.18621500000003,130.1885
69.60315,176.792001,132.1941
69.05087,175.3892098,127.4591
68.28699,173.4489546,125.3466
69.25276,175.9020104,134.7559
68.23862,173.3260948,121.9395
67.6868,171.924472,125.6688
68.84083,174.85570819999998,145.956
69.52061,176.58234940000003,119.9207
66.97668,170.12076720000002,111.5093
72.0053,182.89346200000003,138.676
67.44482,171.3098428,135.0151
66.06214,167.7978356,116.509
65.5747,166.559738,123.9575
68.30171,173.4863434,136.952
71.02603,180.4061162,153.0797
70.76882,179.7528028,126.357
67.50812,171.47062480000002,145.0614
69.50936,176.5537744,135.1739
66.4455,168.77157,108.806
68.5689,174.165006,110.5155
67.01296,170.2129184,138.2685
68.70004,174.4981016,119.5111
68.23013,173.30453020000002,115.3214
70.40713,178.8341102,132.3684
65.69989,166.8777206,93.99438
65.7031,166.88587400000003,127.4051
68.48055,173.940597,134.3024
66.62891,169.23743140000002,124.9721
66.84285,169.780839,124.072
69.89734,177.5392436,133.5476
67.6543,171.841922,134.1509
68.30917,173.50529179999998,130.2489
69.74848,177.1611392,138.0935
68.57906,174.1908124,126.6064
68.14477,173.08771579999998,131.8076
67.98093,172.6715622,131.7363
64.82535,164.656389,117.6261
69.20785,175.787939,126.1943
69.2656,175.934624,127.5132
70.9403,180.18836199999998,142.4785
69.07826,175.4587804,139.444
66.20183,168.15264820000002,110.3204
71.05779,180.4867866,131.9541
68.99493,175.2471222,129.2037
70.96089,180.2406606,124.3513
66.02496,167.7033984,126.5251
69.8641,177.454814,149.2303
66.82802,169.7431708,142.1577
69.09424,175.4993696,127.1436
66.81425,169.70819500000002,122.3353
67.13183,170.5148482,112.6659
64.57428,164.0186712,134.2647
68.68038,174.4481652,120.6936
67.53724,171.5445896,115.783
71.17732,180.79039279999998,128.6855
70.53514,179.1592556,134.7611
71.53411,181.6966394,118.3419
66.77301,169.6034454,106.1557
66.33636,168.4943544,126.3823
64.83095,164.670613,114.3716
68.38247,173.69147379999998,130.2787
68.05038,172.8479652,123.3066
69.09149,175.49238459999998,122.8571
69.91046,177.5725684,125.6932
68.40737,173.7547198,111.7247
68.32559,173.54699860000002,125.5516
66.95555,170.06709700000002,119.9702
70.54816,179.19232639999998,132.6043
69.37805,176.220247,132.6738
67.52012,171.5011048,117.4521
64.87142,164.7734068,101.8549
69.13396,175.6002584,128.4418
68.81192,174.7822768,134.0414
67.56446,171.61372839999999,127.7511
68.16772,173.1460088,127.6172
65.80687,167.1494498,139.3971
64.92276,164.9038104,113.9381
68.35584,173.6238336,147.5188
66.71546,169.45726839999998,132.6523
69.18196,175.72217840000002,132.8139
65.88795,167.35539300000002,105.0942
66.03733,167.7348182,127.5187
69.44194,176.3825276,130.7305
67.14847,170.55711380000002,128.5815
65.69442,166.8638268,122.5699
69.42723,176.3451642,157.2961
66.54503,169.0243762,121.1097
69.04469,175.3735126,147.5061
67.62036,171.75571440000002,117.493
69.59105,176.761267,132.4472
68.12343,173.0335122,118.1774
71.22641,180.91508140000002,123.7319
66.43285,168.739439,130.365
66.31808,168.4479232,122.8882
68.02724,172.78918960000001,107.8693
68.2876,173.450504,118.591
66.91609,169.9668686,125.6467
71.77546,182.3096684,148.6016
66.04535,167.755189,150.279
69.01455,175.296957,127.0678
68.70744,174.51689760000002,128.7122
65.012,165.13048,118.4233
66.05857,167.78876780000002,125.3879
71.16403,180.7566362,149.2676
67.55274,171.58395960000001,107.3484
68.83455,174.839757,133.6992
68.11811,173.01999940000002,124.8508
67.90528,172.47941120000002,112.7028
67.64085,171.807759,127.8407
69.78282,177.2483628,134.1615
67.99889,172.7171806,138.6031
69.41465,176.313211,126.044
70.42989,178.8919206,129.5856
67.67519,171.8949826,134.1054
67.88036,172.4161144,106.1251
68.06905,172.895387,127.0561
66.99435,170.165649,121.9241
71.57689,181.8053006,150.7365
64.36564,163.4887256,116.0061
67.93011,172.5424794,125.4748
69.91863,177.5933202,131.6099
69.93864,177.64414560000003,129.0696
66.79766,169.66605639999997,129.1117
70.11119,178.08242259999997,148.1624
68.94814,175.1282756,105.388
68.02886,172.79330439999998,110.5447
69.36148,176.1781592,118.6402
68.44886,173.86010439999998,122.8151
65.70282,166.88516280000002,124.887
69.55674,176.6741196,135.7695
65.84635,167.249729,116.4563
68.79983,174.7515682,125.3617
69.03835,175.357409,133.122
67.36352,171.10334079999998,138.3328
70.35788,178.70901519999998,124.4972
69.88828,177.5162312,136.7205
65.15319,165.4891026,115.0153
69.40907,176.2990378,132.6366
68.50874,174.0121996,143.1323
65.71552,166.9174208,134.7422
63.98308,162.5170232,122.6246
70.07685,177.99519899999999,153.5634
68.42542,173.8005668,126.289
68.23665,173.321091,134.7206
67.82856,172.2845424,134.5987
66.31277,168.43443580000002,118.3945
69.75128,177.1682512,121.2997
65.70901,166.90088540000002,132.2844
66.88227,169.8809658,139.0617
67.2791,170.888914,110.698
70.63357,179.4092678,154.1073
69.9377,177.641758,124.1592
65.87671,167.3268434,134.5173
72.44694,184.0152276,138.2622
70.07052,177.9791208,149.0801
67.68486,171.9195444,127.0075
66.1151,167.932354,117.8222
69.94355,177.656617,148.9096
68.24317,173.33765180000003,128.2151
68.80144,174.7556576,129.6944
66.61818,169.2101772,125.5674
70.18701,178.2750054,128.7947
65.58971,166.5978634,124.187
68.69566,174.4869764,151.4167
64.88639,164.81143060000002,106.9803
69.81993,177.3426222,145.6221
66.33962,168.50263479999998,121.5926
70.4434,178.926236,130.9386
69.99163,177.77874020000002,135.6203
70.13617,178.1458718,123.9315
67.1793,170.635422,131.9955
68.2034,173.236636,117.484
67.76121,172.1134734,129.6577
64.79753,164.58572619999998,122.3706
66.47871,168.85592340000002,114.5867
66.98337,170.1377598,116.5401
65.69991,166.8777714,139.4307
66.82705,169.74070700000001,123.4822
66.35141,168.5325814,132.5492
70.13491,178.1426714,143.4013
70.11565,178.093751,132.9429
64.56145,163.98608299999998,98.8972
68.15724,173.1193896,122.4342
67.1475,170.55464999999998,104.6767
70.88927,180.0587458,142.7847
68.16218,173.1319372,130.9283
71.19657,180.8392878,143.827
67.92444,172.52807760000002,142.2832
65.30204,165.8671816,107.9441
66.40756,168.67520240000002,105.6891
71.30647,181.11843380000002,125.4007
69.05997,175.41232380000002,106.4195
65.95442,167.5242268,118.5371
69.63776,176.8799104,136.7836
71.10495,180.606573,145.9328
66.21851,168.1950154,129.637
66.13469,167.98211260000002,108.4955
67.7851,172.17415400000002,121.2537
66.67737,169.3605198,135.7399
69.99408,177.7849632,137.5026
71.1441,180.70601399999998,124.0052
68.63927,174.3437458,128.8613
69.08548,175.4771192,133.6811
67.97389,172.6536806,106.5185
65.94809,167.5081486,113.0398
66.02102,167.69339079999997,125.9639
71.23576,180.9388304,140.2945
67.52674,171.5179196,143.229
71.06935,180.516149,145.8063
68.27178,173.41032120000003,128.1697
67.31932,170.9910728,134.1839
68.98848,175.2307392,140.2166
68.404,173.74616,146.3453
67.092,170.41368,132.0784
66.76866,169.59239639999998,122.13
65.64636,166.74175440000002,131.4693
65.34105,165.966267,129.5167
68.18299,173.1847946,125.7451
70.65924,179.4744696,153.1384
65.94401,167.49778540000003,124.5559
69.62792,176.8549168,134.8225
68.29965,173.481111,115.3877
70.06075,177.954305,117.9618
68.43602,173.8274908,124.5647
69.27012,175.94610480000003,134.4043
67.70511,171.9709794,129.3092
70.89315,180.06860100000003,133.1423
70.54313,179.17955020000002,147.3609
71.58086,181.8153844,155.0132
68.42301,173.79444540000003,126.2905
69.35781,176.1688374,134.4605
70.445,178.9303,134.0296
67.38153,171.1490862,128.9248
67.50767,171.4694818,123.0543
68.52054,174.0421716,112.1788
66.80858,169.69379320000002,111.7443
72.38532,183.85871279999998,148.4615
68.51642,174.0317068,136.7459
70.79791,179.82669140000002,133.2068
66.21905,168.196387,116.8855
68.31167,173.5116418,124.8542
67.1715,170.61560999999998,121.5809
67.7714,172.139356,123.197
67.47328,171.3821312,137.1255
67.77463,172.14756020000002,121.4941
69.20099,175.7705146,150.9398
70.04297,177.90914379999998,142.3009
70.56979,179.2472666,134.7527
66.45379,168.7926266,133.5585
67.68132,171.9105528,136.0895
65.75638,167.0212052,95.20216
69.3549,176.161446,119.7404
70.5902,179.299108,152.9146
67.27626,170.8817004,140.1991
68.48853,173.9608662,145.2503
67.02188,170.2355752,119.4855
65.77613,167.0713702,123.512
65.96579,167.5531066,110.6754
68.18868,173.1992472,111.4951
72.08595,183.098313,139.4849
66.85358,169.80809319999997,133.088
69.10929,175.5375966,133.5196
64.5909,164.060886,112.7698
67.03849,170.27776459999998,124.7975
68.99156,175.2385624,123.4224
70.59872,179.3207488,142.0921
70.08988,178.02829519999997,116.2814
65.6844,166.83837599999998,131.1256
67.0982,170.42942800000003,131.2493
66.03932,167.7398728,127.2422
69.26423,175.9311442,122.4523
66.61351,169.1983154,115.2431
68.11738,173.0181452,126.9532
69.73059,177.11569860000003,143.4439
64.02042,162.6118668,125.377
66.23753,168.2433262,109.0095
72.46761,184.0677294,139.2411
66.21938,168.1972252,102.182
71.2978,181.096412,144.3898
63.1255,160.33877,83.08527
70.93034,180.16306360000002,145.3938
68.25489,173.3674206,134.9267
64.78014,164.5415556,134.678
65.42982,166.19174280000001,111.4963
68.91361,175.0405694,119.7951
64.96937,165.0221998,95.70426
66.15237,168.0270198,117.159
65.98386,167.5990044,127.2356
69.2435,175.87849,144.9205
68.31982,173.5323428,122.8464
70.11607,178.0948178,134.19
68.63521,174.33343340000002,124.9776
67.74289,172.0669406,135.8441
64.58641,164.0494814,120.8222
64.66165,164.240591,125.0174
65.90771,167.40558339999998,133.5474
65.77649,167.0722846,124.5583
67.1506,170.562524,135.9691
72.24339,183.49821060000002,143.5738
68.73199,174.57925459999998,130.5725
67.57019,171.6282826,127.192
70.36234,178.7203436,141.2372
63.62233,161.6007182,107.4236
66.20711,168.1660594,122.3234
66.22114,168.20169560000002,111.6055
70.0722,177.983388,137.8915
69.6563,176.92700200000002,142.8742
66.25043,168.2760922,114.4349
68.0704,172.898816,128.2736
67.14808,170.55612319999997,134.5725
68.76609,174.6658686,140.1034
68.12075,173.026705,121.977
65.72987,166.9538698,111.4248
69.17439,175.7029506,135.0756
70.36351,178.72331540000002,132.9826
70.78557,179.79534780000003,117.7566
70.88083,180.0373082,134.9877
66.62148,169.21855920000002,151.6121
69.9829,177.756566,128.9287
66.92866,169.99879639999997,120.1575
71.45806,181.50347240000002,125.6007
69.66344,176.94513759999998,127.8292
69.30943,176.04595220000002,136.1354
66.59775,169.158285,116.2841
64.20209,163.0733086,127.0777
68.23051,173.30549539999998,125.7165
70.09021,178.0291334,121.0749
70.9755,180.27777,122.7382
64.93134,164.92560360000002,119.4545
66.90106,169.92869240000002,132.9048
69.19803,175.7629962,132.8687
68.4149,173.77384600000002,124.3486
66.3163,168.443402,132.2198
72.13467,183.2220618,142.804
65.74613,166.9951702,129.605
69.96677,177.7155958,128.5326
65.11417,165.38999180000002,112.9919
67.43294,171.2796676,122.0795
66.39785,168.650539,118.396
67.18769,170.6567326,130.1299
67.68597,171.9223638,111.6824
67.77469,172.1477126,142.2452
63.62937,161.6185998,122.6049
66.447,168.77538,122.8198
71.9233,182.685182,119.1123
67.92214,172.5222356,139.4335
68.01143,172.74903220000002,141.3353
67.76524,172.1237096,119.787
69.19791,175.7626914,136.326
67.00109,170.1827686,118.4099
67.09659,170.42533860000003,137.692
69.85144,177.4226576,129.078
67.42782,171.2666628,123.4642
68.1104,173.000416,115.4311
68.29433,173.4675982,129.931
69.45176,176.4074704,135.9563
69.08219,175.4687626,127.8134
70.91753,180.1305262,139.1014
64.20566,163.0823764,109.2132
71.10315,180.602001,124.6154
72.08523,183.0964842,136.221
66.15119,168.0240226,120.4722
67.52898,171.5236092,116.1659
67.17586,170.62668440000002,115.5093
72.92955,185.241057,141.9961
65.54112,166.47444480000001,135.4869
69.08487,175.4755698,135.1305
65.28991,165.83637140000002,108.2494
68.53447,174.0775538,125.1277
71.32802,181.17317079999998,142.8947
66.88095,169.877613,128.2978
67.91196,172.4963784,128.268
67.00238,170.1860452,103.5665
68.27584,173.4206336,156.1069
66.20276,168.1550104,104.9661
64.24214,163.17503560000003,121.6365
67.43738,171.2909452,132.0066
64.50081,163.8320574,118.4079
68.89607,174.99601779999998,135.3898
70.32908,178.63586320000002,140.6633
64.31742,163.3662468,111.6703
67.11253,170.4658262,128.0328
68.01206,172.75063240000003,130.4737
68.25267,173.3617818,128.2127
67.76873,172.13257420000002,142.8202
67.44291,171.3049914,123.0804
65.73581,166.9689574,117.8771
69.64372,176.8950488,130.9274
71.92818,182.69757719999998,129.1735
69.39435,176.261649,144.5784
67.14717,170.5538118,115.8635
69.1469,175.633126,116.5322
66.90594,169.9410876,141.9947
67.838,172.30852,132.1304
68.09614,172.9641956,135.2607
66.14093,167.9979622,127.0684
71.16386,180.7562044,129.844
67.55757,171.5962278,134.5066
70.01279,177.83248659999998,121.3609
72.56431,184.31334740000003,143.1486
66.60224,169.1696896,124.7741
68.51802,174.03577080000002,120.1546
66.34638,168.51980519999998,139.4163
69.02692,175.3283768,131.6743
69.12446,175.5761284,131.07
68.24578,173.34428119999998,129.8914
68.4869,173.956726,123.344
